lambda,sigma,s1,s2,s3,sparsity_HF_block1,sparsity_HF_block2,sparsity_HF_block3,Adequacy_data_HF,meanVarCommuHFBlock1,meanVarCommuHFBlock2,meanVarCommuHFBlock3,sparsity_LF_block1,sparsity_LF_block2,sparsity_LF_block3,Adequacy_data_LF,meanVarCommuLFBlock1,meanVarCommuLFBlock2,meanVarCommuLFBlock3
0.9998,0.9,4,1.5811388300841898,1.4,0,5,12,0.11465560982566661,0.031241766358619152,0.11050662782425114,0.049799946617963234,1,6,12,0.1776030602285443,0.009553500141025337,0.0037217212371969083,0.048888888888888905
0,0.3,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889
0.5,0.3,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.18878701793809707,0.040800867699900926,0.004450643726563887,0.04888888888888889,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889
0.9,0.3,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.1886225354458828,0.04086757031935228,0.004480457891603772,0.04888888888888889,13,7,12,0.18880695042055728,0.04079247176310741,0.004447137600627023,0.0488888888888889
0.9998,0.3,2.23606797749979,1.5811388300841898,1.4,9,7,11,0.18590063135743257,0.04609970213691731,0.15538436750641801,0.05532661684182065,13,7,12,0.18880695042055737,0.040792471763107394,0.004447137600627053,0.048888888888888905
0,0.5,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889
0.5,0.5,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.18878701793809707,0.040800867699900926,0.004450643726563887,0.04888888888888889,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889
0.9,0.5,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.1886225354458828,0.04086757031935228,0.004480457891603772,0.04888888888888889,13,7,12,0.18880695042055728,0.04079247176310741,0.004447137600627023,0.0488888888888889
0.9998,0.5,2.23606797749979,1.5811388300841898,1.4,9,7,11,0.18590063135743257,0.04609970213691731,0.15538436750641801,0.05532661684182065,13,7,12,0.18880695042055737,0.040792471763107394,0.004447137600627053,0.048888888888888905
0,0.9,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889
0.5,0.9,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.18878701793809707,0.040800867699900926,0.004450643726563887,0.04888888888888889,13,7,12,0.18880695042055726,0.04079247176310741,0.004447137600627074,0.0488888888888889
0.9,0.9,2.23606797749979,1.5811388300841898,1.4,13,7,12,0.1886225354458828,0.04086757031935228,0.004480457891603772,0.04888888888888889,13,7,12,0.18880695042055728,0.04079247176310741,0.004447137600627023,0.0488888888888889
0.9998,0.9,2.23606797749979,1.5811388300841898,1.4,9,7,11,0.18590063135743257,0.04609970213691731,0.15538436750641801,0.05532661684182065,13,7,12,0.18880695042055737,0.040792471763107394,0.004447137600627053,0.048888888888888905
0,0.3,2,2.4,1.9364916731037085,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025
0.5,0.3,2,2.4,1.9364916731037085,15,3,9,0.15821510431994784,0.0433032615547471,0.02924180872924425,0.03941649489755711,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025
0.9,0.3,2,2.4,1.9364916731037085,15,3,9,0.15822198175799088,0.04331284216013613,0.029612880040497294,0.039434954420264005,15,3,9,0.1582141670544616,0.043302094075910944,0.02919648766858379,0.039414195254330264
0.9998,0.3,2,2.4,1.9364916731037085,13,0,11,0.15802383106908188,0.04657255274509273,0.1527207155975477,0.06798824025030112,15,3,9,0.15821416705446154,0.04330209407591093,0.02919648766858382,0.039414195254330264
0,0.5,2,2.4,1.9364916731037085,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025
0.5,0.5,2,2.4,1.9364916731037085,15,3,9,0.15821510431994784,0.0433032615547471,0.02924180872924425,0.03941649489755711,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025
0.9,0.5,2,2.4,1.9364916731037085,15,3,9,0.15822198175799088,0.04331284216013613,0.029612880040497294,0.039434954420264005,15,3,9,0.1582141670544616,0.043302094075910944,0.02919648766858379,0.039414195254330264
0.9998,0.5,2,2.4,1.9364916731037085,13,0,11,0.15802383106908188,0.04657255274509273,0.1527207155975477,0.06798824025030112,15,3,9,0.15821416705446154,0.04330209407591093,0.02919648766858382,0.039414195254330264
0,0.9,2,2.4,1.9364916731037085,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025
0.5,0.9,2,2.4,1.9364916731037085,15,3,9,0.15821510431994784,0.0433032615547471,0.02924180872924425,0.03941649489755711,15,3,9,0.15821416705446148,0.04330209407591093,0.029196487668583813,0.03941419525433025
0.9,0.9,2,2.4,1.9364916731037085,15,3,9,0.15822198175799088,0.04331284216013613,0.029612880040497294,0.039434954420264005,15,3,9,0.1582141670544616,0.043302094075910944,0.02919648766858379,0.039414195254330264
0.9998,0.9,2,2.4,1.9364916731037085,13,0,11,0.15802383106908188,0.04657255274509273,0.1527207155975477,0.06798824025030112,15,3,9,0.15821416705446154,0.04330209407591093,0.02919648766858382,0.039414195254330264
0,0.3,4,2.4,1.9364916731037085,1,3,9,0.15273387774630376,0.009712001436183592,0.027641656423121396,0.04013679418916571,1,3,9,0.15273387774630376,0.009712001436183592,0.027641656423121396,0.04013679418916571
